Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
BOM,NANO-1000S Labels-Stickers-Parts,NANO-1000S Labels-Stickers-Parts,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Labels-Stickers-Parts,Finished Good,NANO-1000S Labels-Stickers-Parts,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-E-001,Raw Good,N1S-E-001,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,53
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-1000S Packaging-Components,NANO-1000S Packaging-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Packaging-Components,Finished Good,NANO-1000S Packaging-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-B-001A,Raw Good,N1S-B-001A,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,59
Item,Add N1S-B-001B,Raw Good,N1S-B-001B,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,60
Item,Add N1S-B-001C,Raw Good,N1S-B-001C,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,61
Item,Add N1S-B-001D,Raw Good,N1S-B-001D,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,62
Item,Add N1S-B-002-R1,Raw Good,N1S-B-002-R1,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,63
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Included-Accessories-Components,NANO-S Included-Accessories-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Included-Accessories-Components,Finished Good,NANO-S Included-Accessories-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-P-010,Raw Good,N1S-P-010,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,86
Item,Add P-3/4-E-25FF,Raw Good,P-3/4-E-25FF,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,15
Item,Add TEFLON-T,Raw Good,TEFLON-T,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,38
Item,Add TUBE-8MM-100,Raw Good,TUBE-8MM-100,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,19
Item,Add HOSE-25-32MM,Raw Good,HOSE-25-32MM,0.05,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,87
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-1000S_2000S Optional-Accessories-Components,NANO-1000S_2000S Optional-Accessories-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Optional-Accessories-Components,Finished Good,NANO-1000S_2000S Optional-Accessories-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add PTM-125-005,Raw Good,PTM-125-005,3,ea,FALSE,0,0,Paper ring size ,What paper ring size ordered,TRUE,0,FALSE,FALSE,,84
Item,Add PTM-125-006,Raw Good,PTM-125-006,3,ea,FALSE,0,0,Paper ring size ,What paper ring size ordered,TRUE,0,FALSE,FALSE,,84
Item,Add PW-1000A,Raw Good,PW-1000A,3,ea,FALSE,0,0,Bowl size,What bowl size ordered,TRUE,0,FALSE,FALSE,,84
Item,Add PW-800A,Raw Good,PW-800A,3,ea,FALSE,0,0,Bowl size,What bowl size ordered,TRUE,0,FALSE,FALSE,,84
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Customer-Specific-Components,NANO-S Customer-Specific-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Customer-Specific-Components,Finished Good,NANO-S Customer-Specific-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add C-220V-002,Raw Good,C-220V-002,1,ea,FALSE,0,0,Voltage,What Voltage ordered,TRUE,0,FALSE,FALSE,,47
Item,Add C-220V-003,Raw Good,C-220V-003,1,ea,FALSE,0,0,Voltage,What Voltage ordered,TRUE,0,FALSE,FALSE,,44
Item,Add C-220V-004,Raw Good,C-220V-004,1,ea,FALSE,0,0,Voltage,What Voltage ordered,TRUE,0,FALSE,FALSE,,24
BOM,NANO-1000S_2000S Customer-Specific-Components,NANO-1000S_2000S Customer-Specific-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Customer-Specific-Components,Finished Good,NANO-1000S_2000S Customer-Specific-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add C-110V-001,Raw Good,C-110V-001,1,ea,FALSE,0,0,Voltage,What Voltage ordered,TRUE,0,FALSE,FALSE,,44
Item,Add FUSE-6A,Raw Good,FUSE-6A,1,ea,FALSE,0,0,Fuse,What Fuse ordered,TRUE,0,FALSE,FALSE,,44
Item,Add FUSE-520-12F,Raw Good,FUSE-520-12F,1,ea,FALSE,0,0,Fuse,What Fuse ordered,TRUE,0,FALSE,FALSE,,44
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-1000S_2000S Assemblies,NANO-1000S_2000S Assemblies,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Assemblies,Finished Good,NANO-1000S_2000S Assemblies,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-A-SA,Raw Good,N1S-A-SA,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,11
Item,Add P-FAUCET,Raw Good,P-FAUCET,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,76
Item,Add N1S-A-SCA,Raw Good,N1S-A-SCA,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,11
,,,,,,,,,,,,,,,,
BOM,N1S-A-SA,NANO-1000/2000S Spindle Assembly,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create N1S-A-SA,Finished Good,N1S-A-SA,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-SA-A-R4,Raw Good,N1S-SA-A-R4,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add N1S-SA-B-R2,Raw Good,N1S-SA-B-R2,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,3
Item,Add BB-17-40,Raw Good,BB-17-40,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,28
Item,Add SN-EX-17,Raw Good,SN-EX-17,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,53
,,,,,,,,,,,,,,,,
BOM,P-FAUCET,NANO-1000/2000S Faucet,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create P-FAUCET,Finished Good,P-FAUCET,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add P-FAUCET-A,Raw Good,P-FAUCET-A,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,11
Item,Add P-FAUCET-B,Raw Good,P-FAUCET-B,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,12
Item,Add P-FAUCET-C,Raw Good,P-FAUCET-C,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,13
Item,Add P-FAUCET-D,Raw Good,P-FAUCET-D,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,30
Item,Add P-FAUCET-F,Raw Good,P-FAUCET-F,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,31
Item,Add P-FAUCET-G,Raw Good,P-FAUCET-G,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,32
